,Name,Blue,Green,Yellow,Red,Purple
0,0.jpg,0,0,1,0,0
1,1.jpg,1,0,1,1,0
2,10.jpg,1,0,0,1,0
3,100.jpg,1,0,1,1,0
4,1000.jpg,1,0,1,1,1
5,1001.jpg,1,0,0,1,0
6,1002.jpg,1,0,1,1,0
7,1003.jpg,0,0,0,1,0
8,1004.jpg,0,1,1,1,0
9,1005.jpg,1,0,1,0,0
10,1006.jpg,0,1,1,0,0
11,1007.jpg,0,0,1,1,0
12,1008.jpg,0,0,0,1,0
13,1009.jpg,0,0,0,0,0
14,101.jpg,1,0,1,1,1
15,1010.jpg,1,0,1,1,0
16,1011.jpg,1,0,1,1,0
17,1012.jpg,0,0,0,0,0
18,1013.jpg,1,1,1,1,0
19,1014.jpg,0,0,1,1,0
20,1015.jpg,1,1,1,1,1
21,1016.jpg,0,0,1,1,1
22,1017.jpg,0,0,0,1,0
23,1018.jpg,0,0,1,1,0
24,1019.jpg,0,0,1,1,0
25,102.jpg,1,0,1,1,0
26,1020.jpg,1,0,1,0,0
27,1021.jpg,0,0,1,0,0
28,1022.jpg,1,1,0,1,0
29,1023.jpg,0,0,0,0,0
30,1024.jpg,0,1,1,0,0
31,1025.jpg,1,0,0,1,0
32,1026.jpg,0,0,1,1,0
33,1027.jpg,1,0,1,1,0
34,1028.jpg,0,0,0,0,0
35,1029.jpg,0,0,0,1,0
36,103.jpg,0,0,0,1,0
37,1030.jpg,1,0,1,1,0
38,1031.jpg,1,0,1,1,0
39,1032.jpg,1,0,0,1,0
40,1033.jpg,1,0,0,0,0
41,1034.jpg,1,0,0,1,0
42,1035.jpg,0,0,0,1,1
43,1036.jpg,1,0,0,1,1
44,1037.jpg,0,0,0,0,0
45,1038.jpg,1,0,1,0,1
46,1039.jpg,1,1,1,1,0
47,104.jpg,1,0,1,1,0
48,1040.jpg,1,1,1,1,0
49,1041.jpg,1,0,0,0,0
50,1042.jpg,1,0,1,1,0
51,1043.jpg,1,1,1,0,0
52,1044.jpg,1,1,1,1,0
53,1045.jpg,1,0,1,1,1
54,1046.jpg,1,0,1,0,0
55,1047.jpg,1,1,1,1,1
56,1048.jpg,1,1,1,1,0
57,1049.jpg,1,0,0,0,1
58,105.jpg,1,0,1,0,0
59,1050.jpg,1,1,1,1,0
60,1051.jpg,0,0,1,1,0
61,1052.jpg,1,1,1,1,0
62,1053.jpg,0,0,0,1,0
63,1054.jpg,1,0,1,0,0
64,1055.jpg,0,0,0,0,0
65,1056.jpg,1,1,1,0,0
66,1057.jpg,1,0,1,1,1
67,1058.jpg,1,1,1,1,0
68,1059.jpg,0,0,0,0,0
69,106.jpg,0,0,1,1,0
70,1060.jpg,0,0,0,1,0
71,1061.jpg,1,0,1,1,1
72,1062.jpg,1,0,1,1,1
73,1063.jpg,0,0,1,0,0
74,1064.jpg,1,1,1,1,0
75,1065.jpg,0,0,1,1,0
76,1066.jpg,1,1,0,0,0
77,1067.jpg,0,0,1,1,0
78,1068.jpg,1,0,1,1,1
79,1069.jpg,0,0,1,1,0
80,107.jpg,0,0,1,1,0
81,1070.jpg,0,0,1,0,0
82,1071.jpg,1,0,1,1,1
83,1072.jpg,1,0,1,1,0
84,1073.jpg,1,1,1,1,0
85,1074.jpg,1,0,0,1,0
86,1075.jpg,1,0,0,1,0
87,1076.jpg,0,0,0,0,0
88,1077.jpg,0,0,0,0,0
89,1078.jpg,0,0,0,0,0
90,1079.jpg,1,0,1,1,0
91,108.jpg,0,0,1,1,1
92,1080.jpg,0,0,0,0,0
93,1081.jpg,0,0,0,0,0
94,1082.jpg,0,0,0,1,0
95,1083.jpg,1,0,0,1,0
96,1084.jpg,0,0,0,0,0
97,1085.jpg,0,0,0,1,0
98,1086.jpg,1,1,1,1,0
99,1087.jpg,1,0,1,1,0
100,1088.jpg,0,0,1,1,0
101,1089.jpg,1,0,0,1,0
102,109.jpg,1,0,1,1,0
103,1090.jpg,0,0,0,1,0
104,1091.jpg,1,0,0,0,0
105,1092.jpg,1,0,0,1,0
106,1093.jpg,1,0,1,1,0
107,1094.jpg,1,0,0,0,0
108,1095.jpg,1,0,1,1,0
109,1096.jpg,0,0,1,0,0
110,1097.jpg,0,0,0,0,1
111,1098.jpg,0,0,0,0,0
112,1099.jpg,1,0,0,1,1
113,11.jpg,0,0,0,0,0
114,110.jpg,1,0,1,1,0
115,1100.jpg,0,1,1,1,0
116,1101.jpg,0,0,1,1,0
117,1102.jpg,1,1,1,1,0
118,1103.jpg,1,0,0,0,1
119,1104.jpg,0,1,0,0,0
120,1105.jpg,1,1,1,1,0
121,1106.jpg,0,0,0,0,0
122,1107.jpg,1,1,1,1,1
123,1108.jpg,1,0,1,1,0
124,1109.jpg,1,0,1,1,1
125,111.jpg,1,0,1,1,0
126,1110.jpg,0,0,0,0,0
127,1111.jpg,1,0,1,0,0
128,1112.jpg,0,0,0,1,0
129,1113.jpg,1,0,1,1,0
130,1114.jpg,1,0,0,1,0
131,1115.jpg,0,0,0,1,0
132,1116.jpg,1,0,0,1,0
133,1117.jpg,0,0,0,1,0
134,1118.jpg,1,1,1,1,0
135,1119.jpg,1,0,1,1,1
136,112.jpg,0,0,1,1,0
137,1120.jpg,0,0,1,0,0
138,1121.jpg,0,1,1,1,0
139,1122.jpg,0,1,0,0,0
140,1123.jpg,1,1,1,1,0
141,1124.jpg,1,1,1,1,0
142,1125.jpg,0,0,0,1,0
143,1126.jpg,1,0,1,1,1
144,1127.jpg,0,0,0,0,0
145,1128.jpg,0,0,1,1,0
146,1129.jpg,0,0,1,1,0
147,113.jpg,1,0,1,1,0
148,1130.jpg,1,1,1,1,1
149,1131.jpg,1,0,1,1,0
150,1132.jpg,1,0,0,0,0
151,1133.jpg,1,0,0,1,1
152,1134.jpg,0,0,0,1,0
153,1135.jpg,1,0,1,1,0
154,1136.jpg,1,0,1,1,0
155,1137.jpg,0,0,1,1,0
156,1138.jpg,0,0,0,0,0
157,1139.jpg,0,0,0,0,0
158,114.jpg,0,0,0,1,0
159,1140.jpg,1,0,0,0,0
160,1141.jpg,1,0,1,1,0
161,1142.jpg,1,0,0,1,1
162,1143.jpg,0,0,1,1,0
163,1144.jpg,0,1,1,1,0
164,1145.jpg,0,0,0,0,0
165,1146.jpg,1,0,1,0,0
166,1147.jpg,1,1,0,0,0
167,1148.jpg,1,1,1,1,0
168,1149.jpg,1,0,1,1,0
169,115.jpg,0,0,1,1,0
170,1150.jpg,1,0,0,1,1
171,1151.jpg,0,0,0,0,0
172,1152.jpg,1,0,1,1,0
173,1153.jpg,0,1,1,1,0
174,1154.jpg,1,0,0,0,0
175,1155.jpg,1,0,0,1,0
176,1156.jpg,0,0,0,0,0
177,1157.jpg,0,0,0,0,0
178,1158.jpg,0,0,0,1,0
179,1159.jpg,1,1,1,1,0
180,116.jpg,0,0,1,1,0
181,1160.jpg,1,1,1,1,0
182,1161.jpg,0,0,0,0,0
183,1162.jpg,1,0,1,1,0
184,1163.jpg,0,0,0,1,1
185,1164.jpg,0,0,1,1,0
186,1165.jpg,0,0,1,0,0
187,1166.jpg,1,0,0,1,0
188,1167.jpg,1,0,0,0,0
189,1168.jpg,1,1,1,1,0
190,1169.jpg,1,1,1,1,0
191,117.jpg,1,1,1,1,0
192,1170.jpg,0,1,1,1,0
193,1171.jpg,1,0,1,1,0
194,1172.jpg,1,0,0,0,0
195,1173.jpg,0,0,0,0,1
196,1174.jpg,0,0,0,1,0
197,1175.jpg,1,0,0,1,1
198,1176.jpg,0,0,1,1,0
199,1177.jpg,1,1,1,1,0
200,1178.jpg,0,1,0,0,0
201,1179.jpg,0,0,0,1,0
202,118.jpg,0,0,1,1,0
203,1180.jpg,1,1,0,0,1
204,1181.jpg,1,0,0,0,1
205,1182.jpg,1,0,1,1,0
206,1183.jpg,0,0,0,0,0
207,1184.jpg,1,1,1,0,0
208,1185.jpg,0,0,0,0,0
209,1186.jpg,1,0,1,1,0
210,1187.jpg,1,0,1,1,0
211,1188.jpg,1,0,0,0,0
212,1189.jpg,0,0,0,0,0
213,119.jpg,0,1,1,1,0
214,1190.jpg,1,0,1,1,0
215,1191.jpg,0,0,0,0,0
